Address,Type,Year built,Total rental units,Primary market units,Residential standards violations issued (2020-2022),Building permits issued (2020-2022),Building permit work types,Building permit issue years,Assessment history,Sales history,Census tract,Forward sortation area,Rental Market Survey zone,Municipality
"16 Nivens Ave, Dartmouth",Primary market,1960,6,6,2,,,,"2023: $478,800; 2022: $452,900; 2021: $411,700; 2020: $328,100; 2019: $334,900","2020: $1,897,800 (7 parcels in sale)",2050112.00,B3A,Dartmouth North,Halifax
"16 Regent Dr, Dartmouth",Primary market,1972,31,31,,,,,"2023: $2,356,500; 2022: $2,265,000; 2021: $2,104,600; 2020: $1,962,100; 2019: $1,784,300",,2050103.00,B2Y,Dartmouth South,Halifax
"16 Symonds St, Dartmouth",Primary market,1942,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050111.00,B3A,Dartmouth North,Halifax
"16 Twin Oaks Rd, Halifax",Primary market,1965,12,12,,,,,"2023: $796,300; 2022: $781,600; 2021: $732,200; 2020: $694,100; 2019: $761,500","2019: $1,574,000 (2 parcels in sale)",2050014.00,B3P,Mainland South,Halifax
"160 Evans Ave, Halifax",Primary market,1966,7,7,1,,,,"2023: $638,600; 2022: $611,400; 2021: $617,300; 2020: $589,400; 2019: $494,600",,2050025.01,B3M,Mainland North,Halifax
"163 Old Sambro Rd, Halifax",Primary market,1969,6,6,,,,,"2023: $355,200; 2022: $357,300; 2021: $319,800; 2020: $278,300; 2019: $288,100",,2050015.00,B3R,Mainland South,Halifax
"164 Braemar Dr, Dartmouth",Primary market,1970,47,47,,,,,"2023: $4,386,000; 2022: $4,117,400; 2021: $3,928,100; 2020: $3,253,600; 2019: $3,181,600",,2050107.00,B2X,Dartmouth East,Halifax
"164 Kaye St, Lower Sackville",Primary market,,18,18,,,,,"2023: $1,305,500; 2022: $1,200,000; 2021: $1,196,300; 2020: $1,124,800; 2019: $1,109,400",,2050131.02,B4C,Sackville,Halifax
"166 Evans Ave, Halifax",Primary market,1967,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400",,2050025.01,B3M,Mainland North,Halifax
"1663 Brunswick St, Halifax",Primary market,2001,45,45,,,,,"2023: $9,415,100; 2022: $8,046,200; 2021: $8,008,000; 2020: $7,064,600; 2019: $6,347,100",,2050009.00,B3J (2006-2015); B3K (2016-2022),Peninsula South,Halifax
"1666 Sackville Dr, Middle Sackville",Primary market,1961,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400","2022: $595,000 (1 parcel in sale)",2050132.04,B4E,Remainder of CMA,Halifax
"167 Rutledge St, Bedford",Primary market,1979,51,51,,,,,"2023: $5,766,100; 2022: $5,460,500; 2021: $4,834,100; 2020: $4,482,200; 2019: $4,074,400",,2050123.05,B4A,Bedford,Halifax
"1676 Larch St, Halifax",Primary market,1924,26,26,,,,,"2023: $5,409,400; 2022: $4,696,800; 2021: $4,855,500; 2020: $3,449,000; 2019: $3,130,000",,2050006.00,B3H,Peninsula South,Halifax
"1685 Argyle St, Halifax",Primary market,1800,24,24,,,,,"2023: $4,663,800; 2022: $4,111,500; 2021: $3,958,500; 2020: $3,709,400; 2019: $3,755,300",,2050009.00,B3J (2006-2015); B3K (2016-2022),Peninsula South,Halifax
"169 Albro Lake Rd, Dartmouth",Primary market,1977,27,27,,,,,"2023: $1,631,500; 2022: $1,629,000; 2021: $1,139,000; 2020: $940,200; 2019: $915,200","2019: $1,260,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"169 Regency Park Dr, Halifax",Primary market,2003,89,89,,,,,"2023: $15,002,900; 2022: $14,571,000; 2021: $13,929,000; 2020: $13,285,500; 2019: $12,889,500",,2050025.03 (2006-2020); 2050025.05 (2021-2022),B3S,Mainland North,Halifax
"17 Esdaile Ave, Dartmouth",Primary market,1965,63,63,,,,,"2023: $7,313,300; 2022: $6,619,300; 2021: $5,589,300; 2020: $4,874,400; 2019: $4,952,300",,2050101.00,B2Y,Dartmouth South,Halifax
"17 Highfield Park Dr, Dartmouth",Primary market,1989,44,44,,,,,"2023: $4,792,100; 2022: $4,494,700; 2021: $4,256,400; 2020: $3,424,700; 2019: $3,357,400",,2050114.00,B3A,Dartmouth North,Halifax
"17 Main Ave, Halifax",Primary market,1965,11,11,,,,,"2023: $807,700; 2022: $770,600; 2021: $779,700; 2020: $734,600; 2019: $694,100",,2050025.02,B3M,Mainland North,Halifax
"17 McFatridge Rd, Halifax",Primary market,1956,49,49,,,,,"2023: $4,127,800; 2022: $3,871,100; 2021: $3,790,500; 2020: $3,546,300; 2019: $3,395,600",,2050024.00,B3N,Mainland North,Halifax
"17 Mistletoe Lane, Halifax",Primary market,,8,8,,,,,"2023: $1,283,600; 2022: $1,051,700; 2021: $1,016,200; 2020: $956,000; 2019: $924,700",,2050017.00,B3N,Mainland North,Halifax
"17 Portland St, Dartmouth",Primary market,2008,7,7,,,,,"2023: $1,424,400; 2022: $1,437,900; 2021: $1,370,200; 2020: $1,336,800; 2019: $1,270,500",,2050102.00,B2Y,Dartmouth South,Halifax
"17 Prince St, Dartmouth",Primary market,1984,29,29,,1,Renovation,2022,"2023: $7,900,800; 2022: $8,041,000; 2021: $7,427,000; 2020: $7,108,300; 2019: $1,294,500",,2050102.00,B2Y,Dartmouth South,Halifax
"171 Kaye St, Lower Sackville",Primary market,1984,9,9,,,,,"2023: $838,500; 2022: $779,400; 2021: $777,600; 2020: $700,500; 2019: $672,900",,2050131.02,B4C,Sackville,Halifax
"171 Main Ave, Halifax",Primary market,1975,11,11,,,,,"2023: $782,000; 2022: $738,800; 2021: $718,100; 2020: $711,300; 2019: $679,200",,2050025.01,B3M,Mainland North,Halifax
"172 Braemar Dr, Dartmouth",Primary market,1968,18,18,,,,,"2023: $1,904,600; 2022: $1,799,900; 2021: $1,708,700; 2020: $1,456,600; 2019: $1,437,800",,2050107.00,B2X,Dartmouth East,Halifax
"172 Kaye St, Lower Sackville",Primary market,1960,9,9,,,,,"2023: $516,200; 2022: $474,900; 2021: $476,000; 2020: $475,700; 2019: $453,600",,2050131.02,B4C,Sackville,Halifax
"172 Wentworth Dr, Halifax",Primary market,2020,69,69,,,,,"2023: $20,118,600; 2022: $15,678,900; 2021: $8,063,000; 2020: $4,225,000; 2019: $1,845,000",,2050026.02,B3M,Mainland North,Halifax
"173 Evans Ave, Halifax",Primary market,1966,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400","2022: $865,000 (1 parcel in sale); 2022: $759,500 (1 parcel in sale)",2050025.01,B3M,Mainland North,Halifax
"173 Hammonds Plains Rd, Bedford",Primary market,1994,36,36,,,,,"2023: $3,207,200; 2022: $3,201,800; 2021: $2,814,100; 2020: $2,422,100; 2019: $2,332,000",,2050123.05,B4A,Bedford,Halifax
"1746 Henry St, Halifax",Primary market,,6,6,,,,,"2023: $2,042,800; 2022: $1,699,600; 2021: $1,568,200; 2020: $1,374,300; 2019: $1,291,700",,2050012.00,B3H,Peninsula South,Halifax
"175 Albro Lake Rd, Dartmouth",Primary market,1968,50,50,,,,,"2023: $4,089,500; 2022: $3,563,400; 2021: $3,136,800; 2020: $2,946,500; 2019: $3,056,900","2022: $5,900,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"175 Harlington Crescent, Halifax",Primary market,1978,24,24,,,,,"2023: $2,655,000; 2022: $2,205,200; 2021: $1,825,100; 2020: $1,781,900; 2019: $1,756,100",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"175 Knightsridge Dr, Halifax",Primary market,1989,38,38,,,,,"2023: $4,627,100; 2022: $4,088,300; 2021: $3,693,900; 2020: $3,551,300; 2019: $3,414,500","2020: $4,500,000 (1 parcel in sale)",2050026.02,B3M,Mainland North,Halifax
"175 River Lane, Bedford",Primary market,1991,32,32,,,,,"2023: $3,656,300; 2022: $3,254,800; 2021: $3,034,700; 2020: $2,842,800; 2019: $2,565,800",,2050123.05,B4A,Bedford,Halifax
"176 Main Ave, Halifax",Primary market,1978,19,19,,,,,"2023: $1,431,100; 2022: $1,345,400; 2021: $1,311,500; 2020: $1,320,600; 2019: $1,238,200",,2050024.00,B3M (2006-2015); B3N (2016-2022),Mainland North,Halifax
"177 Evans Ave, Halifax",Primary market,1966,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400",,2050025.01,B3M,Mainland North,Halifax
"1774 Preston St, Halifax",Primary market,1940,4,4,,,,,"2023: $974,900; 2022: $913,900; 2021: $875,500; 2020: $709,100; 2019: $709,100",,2050012.00,B3H,Peninsula South,Halifax
"1778 Oxford St, Halifax",Primary market,,5,5,,,,,"2023: $920,000; 2022: $819,100; 2021: $768,300; 2020: $742,200; 2019: $735,200",,2050012.00,B3H,Peninsula South,Halifax
"178 Crichton Ave, Dartmouth",Primary market,1957,7,7,,,,,"2023: $541,500; 2022: $698,800; 2021: $615,600; 2020: $531,300; 2019: $514,200","2021: $540,000 (1 parcel in sale)",2050108.00,B3A,Dartmouth North,Halifax
"179 Lacewood Dr, Halifax",Primary market,1972,32,32,,,,,"2023: $3,528,700; 2022: $3,111,000; 2021: $2,822,600; 2020: $2,813,000; 2019: $2,677,900",,2050025.02,B3M,Mainland North,Halifax
"18 Basinview Dr, Bedford",Primary market,1987,37,37,,,,,"2023: $3,729,500; 2022: $3,533,000; 2021: $3,263,700; 2020: $2,928,800; 2019: $2,720,600",,2050123.06,B4A,Bedford,Halifax
"18 Crown Dr, Halifax",Primary market,1973,84,84,,,,,"2023: $7,627,200; 2022: $6,209,400; 2021: $5,668,100; 2020: $5,376,100; 2019: $5,202,700","2022: $29,700,000 (5 parcels in sale)",2050017.00,B3N,Mainland North,Halifax
"18 Evans Ave, Halifax",Primary market,1970,20,20,,,,,"2023: $1,615,800; 2022: $1,496,000; 2021: $1,464,200; 2020: $1,513,200; 2019: $1,389,600",,2050025.02,B3M,Mainland North,Halifax
"18 Hamlet Ln, Dartmouth",Primary market,2019,25,25,,,,,"2023: $5,656,400; 2022: $5,554,900; 2021: $5,521,700; 2020: $5,395,600; 2019: $425,000",,2050103.00,B2Y,Dartmouth South,Halifax
"18 Hartlen Ave, Halifax",Primary market,2017,4,4,,,,,"2023: $760,200; 2022: $662,200; 2021: $634,400; 2020: $493,600; 2019: $485,800","2019: $653,000 (1 parcel in sale)",2050002.00,B3R,Mainland South,Halifax
"18 Lahey Rd, Dartmouth",Primary market,1965,4,4,,,,,"2023: $353,700; 2022: $329,900; 2021: $311,400; 2020: $271,800; 2019: $267,500","2020: $365,000 (1 parcel in sale)",2050112.00,B3A,Dartmouth North,Halifax
"18 Lewis St, Halifax",Primary market,2016,4,4,,,,,"2023: $651,900; 2022: $580,500; 2021: $538,300; 2020: $493,600; 2019: $485,800","2020: $550,000 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"18 Lynnett Rd, Halifax",Primary market,1972,6,6,,,,,"2023: $415,700; 2022: $407,200; 2021: $366,100; 2020: $320,400; 2019: $338,000",,2050002.00,B3R,Mainland South,Halifax
"18 Meadowbrook Dr, Bedford",Primary market,1996,8,8,,,,,"2023: $1,325,200; 2022: $1,317,400; 2021: $1,200,000; 2020: $1,104,300; 2019: $1,021,800",,2050123.04 (2006-2020); 2050123.07 (2021-2022),B4A,Bedford,Halifax
"18 Middle St, Dartmouth",Primary market,1966,8,8,,1,Renovation,2022,"2023: $945,800; 2022: $617,100; 2021: $565,600; 2020: $447,800; 2019: $458,200","2021: $960,000 (1 parcel in sale)",2050112.00,B3A,Dartmouth North,Halifax
"18 Penny Ave, Halifax",Primary market,1976,15,15,,,,,"2023: $845,800; 2022: $865,300; 2021: $815,400; 2020: $676,700; 2019: $707,000",,2050015.00,B3P,Mainland South,Halifax
"18 Randall Ave, Halifax",Primary market,1966,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050025.01,B3M,Mainland North,Halifax
"18 Regent Dr, Dartmouth",Primary market,1965,6,6,,,,,"2023: $441,100; 2022: $413,800; 2021: $404,900; 2020: $399,600; 2019: $385,000","2020: $525,000 (1 parcel in sale)",2050103.00,B2Y,Dartmouth South,Halifax
"18 Sylvia Ave, Halifax",Primary market,1972,16,16,,,,,"2023: $893,900; 2022: $797,000; 2021: $773,900; 2020: $636,600; 2019: $611,900",,2050002.00,B3R,Mainland South,Halifax
"180 Basswood Run, Dartmouth",Primary market,2013,66,66,,,,,"2023: $14,914,200; 2022: $15,081,000; 2021: $14,315,300; 2020: $14,201,800; 2019: $13,397,500",,2050104.02 (2013-2020); 2050104.03 (2021-2022),B2W,Dartmouth East,Halifax
"1809 Purcells Cove Rd, Halifax",Boarding house,,,,,,,,,,2050014.00,B3P,Mainland South,Halifax
"181 Evans Ave, Halifax",Primary market,1966,7,7,,,,,"2023: $663,700; 2022: $605,100; 2021: $598,100; 2020: $581,400; 2019: $510,200",,2050025.01,B3M,Mainland North,Halifax
"181 Willett St, Halifax",Primary market,1968,26,26,,,,,"2023: $2,542,100; 2022: $2,272,900; 2021: $1,997,100; 2020: $2,108,000; 2019: $2,038,100",,2050025.01,B3M,Mainland North,Halifax
"182 Bedford Hwy, Halifax",Primary market,2005,18,18,,1,Renovation,2021,"2023: $3,618,000; 2022: $3,311,200; 2021: $2,884,100; 2020: $2,653,200; 2019: $2,606,800",,2050025.02,B3M,Mainland North,Halifax
"183 Hammonds Plains Rd, Bedford",Primary market,1994,36,36,,,,,"2023: $3,207,200; 2022: $3,201,800; 2021: $2,814,100; 2020: $2,422,100; 2019: $2,332,000",,2050123.05,B4A,Bedford,Halifax
"185 Farnham Gate Rd, Halifax",Primary market,1985,40,40,,,,,"2023: $4,149,200; 2022: $3,626,500; 2021: $3,551,400; 2020: $3,357,300; 2019: $3,276,800",,2050026.01 (2006-2010); 2050026.03 (2011-2022),B3M,Mainland North,Halifax
"185 Gary Martin Dr, Bedford",Primary market,2020,73,73,,1,Addition,2022,"2023: $12,953,000; 2022: $12,243,800; 2021: $12,171,000; 2020: $2,920,000; 2019: $1,750,000",2019: $0 (1 parcel in sale),2050132.06,B4B,Remainder of CMA,Halifax
"185 Wentworth Dr, Halifax",Primary market,2020,130,130,,1,Renovation,2022,"2023: $37,517,500; 2022: $28,869,900; 2021: $18,510,000; 2020: $12,250,000; 2019: $3,570,000",,2050026.02,B3M,Mainland North,Halifax
"1856 Walnut St, Halifax",Primary market,1975,4,4,,,,,"2023: $845,200; 2022: $779,600; 2021: $717,100; 2020: $694,200; 2019: $687,700",,2050012.00,B3H,Peninsula South,Halifax
"19 Best St, Dartmouth",Primary market,1930,7,7,,,,,"2023: $723,300; 2022: $670,900; 2021: $544,400; 2020: $511,400; 2019: $514,200","2020: $700,000 (1 parcel in sale); 2020: $515,000 (1 parcel in sale)",2050110.00,B3A,Dartmouth North,Halifax
"19 Brightside Crt, Porters Lake",Primary market,2019,3,3,,,,,"2023: $326,700; 2022: $330,000; 2021: $283,800; 2020: $392,600; 2019: $149,600",,2050151.00,B3E,Remainder of CMA,Halifax
"19 Dundas St, Dartmouth",Primary market,1940,10,10,,,,,"2023: $967,300; 2022: $845,600; 2021: $876,700; 2020: $778,900; 2019: $773,100",,2050102.00,B2Y,Dartmouth South,Halifax
"19 Eastbrook Ave, Dartmouth",Primary market,1956,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050111.00,B3A,Dartmouth North,Halifax
"19 Fiske St, Halifax",Primary market,1967,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400","2019: $411,500 (1 parcel in sale)",2050025.01,B3M,Mainland North,Halifax
"19 Irishtown Rd, Dartmouth",Primary market,2010,36,36,,,,,"2023: $5,640,900; 2022: $5,387,500; 2021: $5,403,800; 2020: $5,391,200; 2019: $5,230,800",,2050102.00,B2Y,Dartmouth South,Halifax
"19 Jackson Rd, Dartmouth",Boarding house,1940,4,,,,,,"2023: $419,500; 2022: $379,700; 2021: $351,800; 2020: $304,300; 2019: $299,500",,2050114.00,B3A,Dartmouth North,Halifax
"19 Mandaville Crt, Halifax",Primary market,1972,22,22,,,,,"2023: $1,689,600; 2022: $1,515,100; 2021: $1,481,800; 2020: $1,419,900; 2019: $1,299,000",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"19 Mansion Ave, Halifax",Primary market,1974,15,15,,,,,"2023: $874,700; 2022: $816,500; 2021: $719,500; 2020: $628,800; 2019: $625,100",,2050001.00,B3R,Mainland South,Halifax
"19 Plateau Crescent, Halifax",Primary market,1973,81,81,,,,,"2023: $9,429,100; 2022: $8,242,500; 2021: $7,442,900; 2020: $7,461,600; 2019: $7,113,700",,2050025.01,B3M,Mainland North,Halifax
"19 Primrose St, Dartmouth",Primary market,1976,21,21,,,,,"2023: $1,293,300; 2022: $1,284,800; 2021: $1,165,900; 2020: $959,000; 2019: $967,200","2021: $5,846,340 (6 parcels in sale); 2020: $0 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"19 Rodney Rd, Dartmouth",Primary market,1953,6,6,,,,,"2023: $554,600; 2022: $513,100; 2021: $484,600; 2020: $404,400; 2019: $385,900",,2050101.00,B2Y,Dartmouth South,Halifax
"190 Glenforest Dr, Halifax",Primary market,1968,12,12,,,,,"2023: $1,168,500; 2022: $1,002,200; 2021: $825,700; 2020: $776,200; 2019: $757,700",,2050025.01,B3M,Mainland North,Halifax
"1901 Gottingen St, Halifax",Primary market,2017,82,82,,,,,"2023: $25,974,600; 2022: $24,796,900; 2021: $25,677,400; 2020: $22,402,900; 2019: $24,027,000",,2050009.00,B3J,Peninsula South,Halifax
"191 Herring Cove Rd, Halifax",Boarding house,1999,4,,,,,,"2023: $1,172,400; 2022: $1,167,600; 2021: $1,164,300; 2020: $1,018,200; 2019: $999,300",,2050015.00,B3P,Mainland South,Halifax
"192 Knightsridge Dr, Halifax",Primary market,2018,76,76,,,,,"2023: $18,356,900; 2022: $18,020,800; 2021: $18,535,800; 2020: $17,388,000; 2019: $17,348,700",,2050026.02,B3M,Mainland North,Halifax
"192 Spencer Ave, Halifax",Primary market,2014,4,4,,,,,"2023: $530,300; 2022: $460,900; 2021: $418,700; 2020: $362,100; 2019: $356,400","2020: $550,000 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"1920 Brunswick St, Halifax",Primary market,2014,148,148,,,,,"2023: $39,202,300; 2022: $37,738,100; 2021: $40,676,400; 2020: $35,170,100; 2019: $35,596,200","2020: $59,148,359 (1 parcel in sale)",2050009.00,B3J,Peninsula South,Halifax
"1929 Connaught Ave, Halifax",Primary market,,4,4,,,,,"2023: $1,351,200; 2022: $1,229,200; 2021: $1,119,800; 2020: $784,200; 2019: $761,100","2021: $1,472,500 (1 parcel in sale); 2019: $574,567 (1 parcel in sale)",2050012.00,B3H,Peninsula South,Halifax
"194 Basswood Run, Dartmouth",Primary market,2016,66,66,,,,,"2023: $16,082,800; 2022: $15,576,200; 2021: $15,221,300; 2020: $14,909,200; 2019: $14,782,800",,2050104.02 (2016-2020); 2050104.03 (2021-2022),B2W,Dartmouth East,Halifax
"1949 Oxford St, Halifax",Primary market,1940,8,8,,,,,"2023: $1,459,900; 2022: $1,292,200; 2021: $1,179,300; 2020: $1,082,800; 2019: $1,064,200",,2050012.00,B3H,Peninsula South,Halifax
"195 Herring Cove Rd, Halifax",Primary market,1975,14,14,,,,,"2023: $801,300; 2022: $816,500; 2021: $769,000; 2020: $639,100; 2019: $668,400",,2050015.00,B3P,Mainland South,Halifax
"196 Ross St, Halifax",Primary market,1985,16,16,,,,,"2023: $1,961,200; 2022: $1,727,800; 2021: $1,492,300; 2020: $1,545,900; 2019: $1,429,300",,2050026.01 (2006-2010); 2050026.03 (2011-2022),B3M,Mainland North,Halifax
"197 Portland St, Dartmouth",Primary market,,6,6,,,,,"2023: $784,300; 2022: $786,500; 2021: $742,200; 2020: $733,300; 2019: $698,600",,2050102.00,B2Y,Dartmouth South,Halifax
"197 Spencer Ave, Halifax",Primary market,1969,11,11,,,,,"2023: $1,048,700; 2022: $945,500; 2021: $350,000; 2020: $519,700; 2019: $541,600","2020: $325,000 (1 parcel in sale)",2050015.00,B3R,Mainland South,Halifax
"1991 Brunswick St, Halifax",Primary market,1971,196,196,1,2,Renovation,2022,"2023: $22,771,600; 2022: $23,944,700; 2021: $22,849,300; 2020: $19,675,200; 2019: $18,884,300","2020: $41,195,196 (1 parcel in sale)",2050009.00,B3J,Peninsula South,Halifax
"2 Acacia St, Dartmouth",Primary market,1980,6,6,,,,,"2023: $661,900; 2022: $550,600; 2021: $530,700; 2020: $462,000; 2019: $449,800",,2050100.00,B2W (2006-2022); B2Y (2016-2020),Dartmouth South,Halifax
"2 Barkton Lane, Halifax",Primary market,1990,60,60,,,,,"2023: $6,989,900; 2022: $6,136,300; 2021: $5,572,200; 2020: $5,498,700; 2019: $5,344,500",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"2 Esdaile Ave, Dartmouth",Primary market,1965,12,12,,,,,"2023: $1,354,400; 2022: $1,267,300; 2021: $1,167,600; 2020: $1,059,700; 2019: $1,005,700",,2050101.00,B2Y,Dartmouth South,Halifax
"2 Estelle Dr, Dartmouth",Primary market,1965,4,4,,,,,"2023: $262,200; 2022: $242,600; 2021: $234,300; 2020: $207,600; 2019: $204,300","2022: $516,000 (1 parcel in sale)",2050122.01,B2W (2006-2015); B2V (2016-2022),Dartmouth East,Halifax
"2 Fairbanks St, Dartmouth",Primary market,1979,9,9,,,,,"2023: $791,800; 2022: $706,700; 2021: $634,300; 2020: $530,700; 2019: $553,100",,2050110.00,B3A,Dartmouth North,Halifax
"2 Foxwood Terrace, Halifax",Primary market,1973,116,116,,,,,"2023: $5,654,400; 2022: $6,329,700; 2021: $5,770,200; 2020: $4,763,600; 2019: $4,668,500",,2050002.00,B3R,Mainland South,Halifax
"2 Franklyn Crt, Dartmouth",Primary market,1983,10,10,,,,,"2023: $783,800; 2022: $701,400; 2021: $674,200; 2020: $642,800; 2019: $620,100","2022: $18,600,000 (3 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"2 Levis St, Halifax",Primary market,1954,6,6,,,,,"2023: $668,200; 2022: $360,700; 2021: $326,200; 2020: $281,600; 2019: $293,800","2022: $1,190,000 (1 parcel in sale); 2021: $0 (3 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"2 Linden Lea, Dartmouth",Primary market,1955,14,14,,,,,"2023: $1,328,100; 2022: $1,173,100; 2021: $1,022,200; 2020: $918,300; 2019: $911,400",,2050102.00,B2Y,Dartmouth South,Halifax
"2 McIntosh St, Halifax",Primary market,1965,6,6,1,,,,"2023: $629,200; 2022: $566,800; 2021: $358,100; 2020: $312,700; 2019: $329,200","2020: $1,020,000 (2 parcels in sale)",2050002.00,B3R,Mainland South,Halifax
"2 Melrose Ave, Halifax",Primary market,1957,12,12,,,,,"2023: $735,100; 2022: $569,400; 2021: $591,800; 2020: $573,600; 2019: $546,000",,2050024.00,B3N,Mainland North,Halifax
"2 N Green Rd, Halifax",Primary market,1984,15,15,,,,,"2023: $1,288,500; 2022: $1,278,300; 2021: $1,278,100; 2020: $1,154,900; 2019: $1,129,400",,2050142.02,B3T,Remainder of CMA,Halifax
"2 Ramsgate Lane, Halifax",Primary market,1994,48,48,,,,,"2023: $7,479,800; 2022: $6,076,400; 2021: $5,749,200; 2020: $5,336,500; 2019: $5,226,000",,2050014.00,B3P,Mainland South,Halifax
"2 Randall Ave, Halifax",Primary market,1967,4,4,,,,,"2023: $465,700; 2022: $426,500; 2021: $399,000; 2020: $388,600; 2019: $381,400",,2050025.01,B3M,Mainland North,Halifax
"2 Sunnybrae Ave, Halifax",Primary market,1959,6,6,,,,,"2023: $598,100; 2022: $549,900; 2021: $537,400; 2020: $524,800; 2019: $483,600",,2050024.00,B3N,Mainland North,Halifax
"2 Sybyl Crt, Halifax",Primary market,1971,22,22,,,,,"2023: $1,985,900; 2022: $1,973,300; 2021: $1,634,800; 2020: $1,604,400; 2019: $1,565,400",,2050025.01,B3M,Mainland North,Halifax
"2 Tulip St, Dartmouth",Primary market,1940,4,4,,,,,"2023: $530,300; 2022: $460,900; 2021: $418,700; 2020: $362,100; 2019: $356,400",,2050109.00,B3A,Dartmouth North,Halifax
"20 Abbington Ave, Bedford",Primary market,2022,153,153,,,,,"2023: $42,292,200; 2022: $20,180,000; 2021: $7,859,900; 2020: $1,859,900; 2019: $1,859,900","2019: $1,859,900 (1 parcel in sale)",2050132.06,B4B,Remainder of CMA,Halifax
"20 Boutiliers Point Rd, Boutiliers Point",Primary market,,6,6,,,,,"2023: $820,500; 2022: $710,300; 2021: $399,900; 2020: $106,400; 2019: $233,400","2021: $925,000 (1 parcel in sale); 2019: $100,000 (1 parcel in sale)",2050143.01,B3Z,Remainder of CMA,Halifax
"20 Brightside Crt, Porters Lake",Primary market,2019,3,3,,,,,"2023: $326,700; 2022: $330,000; 2021: $283,800; 2020: $368,100; 2019: $149,600",,2050151.00,B3E,Remainder of CMA,Halifax
"20 Brule St, Dartmouth",Primary market,1976,10,10,,,,,"2023: $813,800; 2022: $767,200; 2021: $704,000; 2020: $605,000; 2019: $567,400",,2050114.00,B3A,Dartmouth North,Halifax
"20 Dawn St, Halifax",Primary market,2012,38,38,,,,,"2023: $3,714,800; 2022: $4,227,200; 2021: $4,080,100; 2020: $4,174,600; 2019: $3,991,300",,2050025.01,B3M,Mainland North,Halifax
"20 Evans Ave, Halifax",Primary market,1974,11,11,,,,,"2023: $696,000; 2022: $679,700; 2021: $682,200; 2020: $661,700; 2019: $544,400",,2050025.02,B3M,Mainland North,Halifax
"20 Freshwater Trail, Dartmouth",Primary market,2010,61,61,,,,,"2023: $13,492,900; 2022: $13,615,300; 2021: $12,889,400; 2020: $13,349,500; 2019: $12,462,000",,2050104.02 (2010-2020); 2050104.05 (2021-2022),B2W,Dartmouth East,Halifax
"20 Joseph Young St, Dartmouth",Primary market,1989,39,39,,,,,"2023: $4,200,000; 2022: $3,903,800; 2021: $3,648,500; 2020: $2,918,900; 2019: $2,861,600",,2050114.00,B3A,Dartmouth North,Halifax
"20 Larry Uteck Blvd, Halifax",Primary market,2006,40,40,,,,,"2023: $6,509,600; 2022: $6,402,100; 2021: $5,686,700; 2020: $5,374,700; 2019: $5,516,400",,2050027.00,B3M,Mainland North,Halifax
"20 Lynnett Rd, Halifax",Primary market,1972,6,6,,,,,"2023: $415,700; 2022: $407,200; 2021: $366,100; 2020: $320,400; 2019: $338,000",,2050002.00,B3R,Mainland South,Halifax
"20 Trinity Ave, Dartmouth",Primary market,1982,6,6,,,,,"2023: $587,300; 2022: $540,200; 2021: $539,500; 2020: $495,700; 2019: $471,800","2019: $443,750 (1 parcel in sale)",2050112.00,B3A,Dartmouth North,Halifax
"20 Westridge Dr, Halifax",Primary market,1974,59,59,1,,,,"2023: $6,698,200; 2022: $5,904,400; 2021: $5,350,900; 2020: $5,165,000; 2019: $4,973,100",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"200 Broad St, Bedford",Primary market,2016,55,55,,,,,"2023: $14,110,100; 2022: $13,455,400; 2021: $12,478,300; 2020: $12,715,900; 2019: $11,939,300","2022: $18,800,000 (1 parcel in sale)",2050132.06,B4B,Remainder of CMA,Halifax
